variable_group,variable_name,country,operator_name,segment,technology_name,primary_energy_carrier,secondary_energy_carrier,saf_pathway,unit,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,scenario_id
price,primary_energy_price,France,,,,kerosene,,,eur_per_kwh,0.083,0.085,0.087,0.089,0.091,0.093,0.095,0.097,0.099,0.101,0.103,
price,primary_energy_price,France,,,,hydrogen,,,eur_per_kwh,0.192,0.188,0.184,0.18,0.176,0.172,0.168,0.164,0.16,0.156,0.152,
price,secondary_energy_price,France,,,,,saf,hefa,eur_per_kwh,0.13,0.128,0.126,0.124,0.122,0.12,0.118,0.116,0.114,0.112,0.11,
policy,carbon_price,,,,,,,,eur_per_tco2,35.0,45.0,58.0,72.0,88.0,105.0,122.0,140.0,155.0,168.0,180.0,
policy,clean_fuel_subsidy,,,,,,,,share,0.08,0.094,0.108,0.122,0.136,0.15,0.164,0.178,0.192,0.206,0.22,
policy,adoption_mandate,,,,,,,,share,0.03,0.055,0.08,0.105,0.13,0.155,0.18,0.205,0.23,0.255,0.28,
policy,ets_allocation_factor,,Lufthansa Cargo,,,,,,share,0.84,0.81,0.78,0.75,0.72,0.69,0.65,0.61,0.57,0.53,0.49,
policy,ets_allocation_factor,,Air France Cargo,,,,,,share,0.85,0.82,0.79,0.76,0.73,0.7,0.66,0.62,0.58,0.54,0.5,
policy,saf_mandate,,,,,,saf,hefa,share,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.21,0.24,0.28,
availability,technology_availability,,,medium,drop_in_saf_freight_medium,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,long,drop_in_saf_freight_long,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,medium,hydrogen_freight_medium,,,,flag,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,long,hydrogen_freight_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,medium,hydrogen_freight_medium,,,,flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,France,,medium,hydrogen_freight_medium,,,,flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
