variable_group,variable_name,country,operator_name,segment,technology_name,primary_energy_carrier,secondary_energy_carrier,saf_pathway,unit,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,scenario_id
price,primary_energy_price,France,,,,marine_diesel,,,eur_per_kwh,0.059,0.061,0.063,0.065,0.067,0.069,0.071,0.073,0.075,0.077,0.079,
price,secondary_energy_price,France,,,,,biofuel,fame,eur_per_kwh,0.095,0.094,0.093,0.092,0.091,0.09,0.089,0.088,0.087,0.086,0.085,
price,tertiary_energy_price,France,,,,,biofuel,fame,eur_per_kwh,0.095,0.094,0.093,0.092,0.091,0.09,0.089,0.088,0.087,0.086,0.085,
policy,carbon_tax,,,,,,,,eur_per_tco2,28.0,34.0,42.0,52.0,64.0,78.0,92.0,108.0,124.0,138.0,152.0,
policy,clean_fuel_subsidy,,,,,,,,share,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,
policy,biofuel_mandate,,,,,,biofuel,fame,share,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.14,0.17,0.2,0.23,
policy,ets_allocation_factor,,Hapag-Lloyd,,,,,,share,0.9,0.88,0.86,0.84,0.82,0.79,0.76,0.73,0.7,0.66,0.62,
policy,ets_allocation_factor,,CMA CGM,,,,,,share,0.9,0.88,0.86,0.84,0.82,0.79,0.76,0.73,0.7,0.66,0.62,
policy,reported_emission,,Hapag-Lloyd,,,,,,share,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,
policy,reported_emission,,CMA CGM,,,,,,share,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,
availability,technology_availability,,,regional,biofuel_regional,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,deepsea,biofuel_deepsea,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,regional,ammonia_regional,,,,flag,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,deepsea,ammonia_deepsea,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,regional,ammonia_regional,,,,flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,France,,regional,ammonia_regional,,,,flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,deepsea,ammonia_deepsea,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,France,,deepsea,ammonia_deepsea,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,biofuel_availability,Germany,,regional,biofuel_regional,,biofuel,fame,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,biofuel_availability,France,,regional,biofuel_regional,,biofuel,fame,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,biofuel_availability,Germany,,deepsea,biofuel_deepsea,,biofuel,fame,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,biofuel_availability,France,,deepsea,biofuel_deepsea,,biofuel,fame,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
demand,freight_tonne_km_demand,Germany,,regional,,,,,tkm_per_year,640000000.0,652000000.0,664000000.0,676000000.0,688000000.0,700000000.0,712000000.0,724000000.0,736000000.0,748000000.0,760000000.0,
demand,freight_tonne_km_demand,Germany,,deepsea,,,,,tkm_per_year,2680000000.0,2730000000.0,2780000000.0,2840000000.0,2900000000.0,2960000000.0,3020000000.0,3080000000.0,3140000000.0,3200000000.0,3260000000.0,
demand,freight_tonne_km_demand,France,,regional,,,,,tkm_per_year,620000000.0,631000000.0,642000000.0,654000000.0,666000000.0,678000000.0,690000000.0,702000000.0,714000000.0,726000000.0,738000000.0,
demand,freight_tonne_km_demand,France,,deepsea,,,,,tkm_per_year,2520000000.0,2570000000.0,2620000000.0,2680000000.0,2740000000.0,2800000000.0,2860000000.0,2920000000.0,2980000000.0,3040000000.0,3100000000.0,
market,operator_market_share,Germany,Hapag-Lloyd,regional,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,Germany,Hapag-Lloyd,deepsea,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,France,CMA CGM,regional,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,France,CMA CGM,deepsea,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
operations,load_factor,,Hapag-Lloyd,,,,,,share,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.79,
operations,load_factor,,CMA CGM,,,,,,share,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.76,0.77,0.77,0.78,
operations,freight_rate,,Hapag-Lloyd,,,,,,eur_per_tonne_km,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,0.076,
operations,freight_rate,,CMA CGM,,,,,,eur_per_tonne_km,0.065,0.066,0.067,0.068,0.069,0.07,0.071,0.072,0.073,0.074,0.075,
delivery,planned_delivery_count,Germany,Hapag-Lloyd,deepsea,biofuel_deepsea,,,,count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
delivery,planned_delivery_count,France,CMA CGM,regional,biofuel_regional,,,,count,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.056908,aktuellepolitiken
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024005,0.024005,0.024005,0.024005,0.024005,0.024005,0.024005,0.024005,0.024005,0.024005,0.023849,aktuellepolitiken
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.08941,0.08941,0.08941,0.08941,0.08941,0.08941,0.08941,0.08941,0.08941,0.08941,0.072493,aktuellepolitiken
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.056698,0.056698,0.056698,0.056698,0.056698,0.056698,0.056698,0.056698,0.056698,0.056698,0.042035,aktuellepolitiken
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.006888,aktuellepolitiken
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.04232,aktuellepolitiken
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.042151,0.04232,aktuellepolitiken
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.065663,0.056908,aktuellepolitiken
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.011702,0.006888,aktuellepolitiken
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.174219,fokusstrom
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024615,0.024615,0.024615,0.024615,0.024615,0.024615,0.024615,0.024615,0.024615,0.024615,0.027424,fokusstrom
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.130624,0.130624,0.130624,0.130624,0.130624,0.130624,0.130624,0.130624,0.130624,0.130624,0.163435,fokusstrom
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.085367,0.085367,0.085367,0.085367,0.085367,0.085367,0.085367,0.085367,0.085367,0.085367,0.112505,fokusstrom
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.030549,fokusstrom
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.047745,fokusstrom
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.043167,0.047745,fokusstrom
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.085727,0.174219,fokusstrom
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.050748,0.030549,fokusstrom
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.176212,fokusH2
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0.024649,0.027484,fokusH2
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.132043,0.132043,0.132043,0.132043,0.132043,0.132043,0.132043,0.132043,0.132043,0.132043,0.165677,fokusH2
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.086541,0.086541,0.086541,0.086541,0.086541,0.086541,0.086541,0.086541,0.086541,0.086541,0.114258,fokusH2
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.406821,fokusH2
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.047857,fokusH2
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.043224,0.047857,fokusH2
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.08686,0.176212,fokusH2
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.046986,0.406821,fokusH2
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175374,technologiemix
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024634,0.024634,0.024634,0.024634,0.024634,0.024634,0.024634,0.024634,0.024634,0.024634,0.027458,technologiemix
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.131475,0.131475,0.131475,0.131475,0.131475,0.131475,0.131475,0.131475,0.131475,0.131475,0.164725,technologiemix
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.086082,0.086082,0.086082,0.086082,0.086082,0.086082,0.086082,0.086082,0.086082,0.086082,0.113646,technologiemix
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.030976,technologiemix
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.047788,technologiemix
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.043198,0.047788,technologiemix
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175374,technologiemix
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.048481,0.030976,technologiemix
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.178228,hohenachfrage
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024714,0.024714,0.024714,0.024714,0.024714,0.024714,0.024714,0.024714,0.024714,0.024714,0.027544,hohenachfrage
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.134913,0.134913,0.134913,0.134913,0.134913,0.134913,0.134913,0.134913,0.134913,0.134913,0.166519,hohenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.088712,0.088712,0.088712,0.088712,0.088712,0.088712,0.088712,0.088712,0.088712,0.088712,0.114528,hohenachfrage
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.030374,hohenachfrage
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.047832,hohenachfrage
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.043331,0.047832,hohenachfrage
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.089003,0.178228,hohenachfrage
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.048844,0.030374,hohenachfrage
price,primary_energy_price,Germany,,,,marine_diesel,,,eur_per_kwh,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.167074,niedrigenachfrage
price,primary_energy_price,Germany,,,,lng,,,eur_per_kwh,0.024429,0.024429,0.024429,0.024429,0.024429,0.024429,0.024429,0.024429,0.024429,0.024429,0.027206,niedrigenachfrage
price,primary_energy_price,Germany,,,,methanol,,,eur_per_kwh,0.122855,0.122855,0.122855,0.122855,0.122855,0.122855,0.122855,0.122855,0.122855,0.122855,0.161531,niedrigenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.079174,0.079174,0.079174,0.079174,0.079174,0.079174,0.079174,0.079174,0.079174,0.079174,0.11206,niedrigenachfrage
price,primary_energy_price,Germany,,,,electricity,,,eur_per_kwh,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.029573,niedrigenachfrage
price,secondary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.04759,niedrigenachfrage
price,tertiary_energy_price,Germany,,,,,biofuel,fame,eur_per_kwh,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.042853,0.04759,niedrigenachfrage
price,secondary_energy_price,Germany,,,,,marine_diesel,,eur_per_kwh,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.079573,0.167074,niedrigenachfrage
price,secondary_energy_price,Germany,,,,,electricity,,eur_per_kwh,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.0487,0.029573,niedrigenachfrage
price,primary_energy_price,Germany,,,,ammonia,,,eur_per_kwh,0.176416,0.176416,0.176416,0.176416,0.176416,0.15139,0.15139,0.15139,0.15139,0.15139,0.144593,
price,primary_energy_price,France,,,,ammonia,,,eur_per_kwh,0.176416,0.176416,0.176416,0.176416,0.176416,0.15139,0.15139,0.15139,0.15139,0.15139,0.144593,
