technology_name,segment,primary_energy_carrier,secondary_energy_carrier,saf_pathway,drop_in_fuel,maximum_secondary_energy_share,lifetime_years,payback_interest_rate,capex_eur,maintenance_cost_share,depreciation_cost_share,kilometer_per_kwh,trip_days_per_year,fuel_capacity_kwh,trip_length_km,economy_seats,business_seats,first_class_seats,mtow,oew,primary_energy_emission_factor,secondary_energy_emission_factor,hydrocarbon_factor,carbon_monoxide_factor,nitrogen_oxide_factor,smoke_number_factor,technology_family,service_entry_year,minimum_airport_class,technology_notes
kerosene_short,short,kerosene,none,none,0,0.0,24,0.08,98000000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.89,0.0,420,360,48,31,conventional,1995,C,Current narrow-body benchmark
drop_in_saf_short,short,kerosene,saf,hefa,1,0.5,24,0.08,104000000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.89,0.18,240,210,36,22,drop_in_saf,2025,C,Short-haul HEFA-compatible retrofit/replacement
hybrid_electric_short,short,electricity,battery,none,0,1.0,22,0.07,38000000,0.05,0.1,0.52,310,45000,400,30,0,0,12500,8200,0.05,0.0,40,18,8,2,hybrid_electric,2031,B,"Corrected to match Heart Aerospace ES-30 (the most credible real near-term hybrid-electric program, real airline orders already placed): 30 seats, 200km pure-electric / 800km hybrid range (400km used as a representative mission), real 2031 target entry into service. Was previously modeled at 180 seats (inherited from kerosene_short) with no real program at that scale."
kerosene_medium,medium,kerosene,none,none,0,0.0,25,0.08,118000000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.89,0.0,430,370,50,32,conventional,1998,C,Current medium-haul benchmark
drop_in_saf_medium,medium,kerosene,saf,hefa,1,0.5,25,0.08,125000000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.89,0.18,250,220,38,24,drop_in_saf,2025,C,Medium-haul HEFA-compatible replacement
kerosene_long,long,kerosene,none,none,0,0.0,26,0.09,205000000,0.07,0.13,0.21,290,2350000,14000,320,42,8,280000,142000,0.89,0.0,450,390,54,34,conventional,2000,D,Current long-haul benchmark
drop_in_saf_long,long,kerosene,saf,hefa,1,0.45,26,0.09,214000000,0.07,0.13,0.21,290,2350000,14000,320,42,8,280000,142000,0.89,0.18,255,225,39,25,drop_in_saf,2025,D,Long-haul HEFA-compatible replacement
hydrogen_short,short,hydrogen,none,none,0,0.0,24,0.08,156800000,0.06,0.12,0.34,320,850000,3700,165,0,0,79000,41413,0.02,0.0,15,8,4,0,hydrogen,2035,C,"Moved from long-haul to short-haul: hydrogen's poor volumetric energy density makes long-haul the hardest real case, not the easiest (confirmed by the supplied research - no hydrogen option appears for wide-body/very-large aircraft at all). Real anchor: Airbus ZEROe turbofan concept, 120-200 seats, 2,000+ nm range, real 2035 target service entry. Caveat: Airbus itself narrowed focus to the fuel-cell-powered ZEROe variant specifically in 2025, a real signal of even greater timeline uncertainty than the 2035 combustion-concept date alone suggests."
e_kerosene_short,short,kerosene,e_kerosene,ptl,1,0.5,24,0.08,106080000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.89,0.05,240,210,36,22,power_to_liquid,2028,C,"Power-to-liquid e-kerosene (PtL), a real, distinct SAF pathway from HEFA - renewable electricity + captured CO2, not biomass/waste. Drop-in compatible once certified (same aircraft/engine as kerosene, no propulsion hardware change), but real 2026 spot prices run ~2-3x HEFA-SAF (~$5,500/t PtL vs ~$1,800-2,830/t HEFA) - a real operating-cost premium this catalog's capex field does not itself carry (capex reflects aircraft capital cost, not fuel price - the cost gap would need to be modeled at the scenario fuel-price level, not here)."
e_kerosene_medium,medium,kerosene,e_kerosene,ptl,1,0.5,25,0.08,127500000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.89,0.05,250,220,38,24,power_to_liquid,2028,C,"Power-to-liquid e-kerosene (PtL), a real, distinct SAF pathway from HEFA - renewable electricity + captured CO2, not biomass/waste. Drop-in compatible once certified (same aircraft/engine as kerosene, no propulsion hardware change), but real 2026 spot prices run ~2-3x HEFA-SAF (~$5,500/t PtL vs ~$1,800-2,830/t HEFA) - a real operating-cost premium this catalog's capex field does not itself carry (capex reflects aircraft capital cost, not fuel price - the cost gap would need to be modeled at the scenario fuel-price level, not here)."
e_kerosene_long,long,kerosene,e_kerosene,ptl,1,0.45,26,0.09,218280000,0.07,0.13,0.21,290,2350000,14000,320,42,8,280000,142000,0.89,0.05,255,225,39,25,power_to_liquid,2028,D,"Power-to-liquid e-kerosene (PtL), a real, distinct SAF pathway from HEFA - renewable electricity + captured CO2, not biomass/waste. Drop-in compatible once certified (same aircraft/engine as kerosene, no propulsion hardware change), but real 2026 spot prices run ~2-3x HEFA-SAF (~$5,500/t PtL vs ~$1,800-2,830/t HEFA) - a real operating-cost premium this catalog's capex field does not itself carry (capex reflects aircraft capital cost, not fuel price - the cost gap would need to be modeled at the scenario fuel-price level, not here)."
efficient_turbofan_short,short,kerosene,none,none,0,0.0,24,0.08,105840000,0.06,0.12,0.34,320,850000,5500,189,0,0,79000,41413,0.712,0.0,336,288,38,25,efficient_turbofan,2035,C,"Ultra-high-bypass geared/open-fan engine (CFM RISE program, Safran/GE Aerospace, launched 2021) - real, >20% fuel burn/CO2 reduction vs today's most efficient engines, real 2035 target entry into service. Same fuel compatibility as conventional (Jet A/Jet A-1, certified SAF, e-kerosene) - a more efficient conventional-fuel engine, not an alternative fuel. Capex premium (+8%) is an estimate, not a sourced pre-certification price. Not extended to long-haul: the real program and the supplied research both target the narrow-body/single-aisle replacement market specifically, not wide-body long-haul."
efficient_turbofan_medium,medium,kerosene,none,none,0,0.0,25,0.08,127440000,0.06,0.12,0.29,305,1160000,7000,220,12,0,93500,50000,0.712,0.0,344,296,40,26,efficient_turbofan,2035,C,"Ultra-high-bypass geared/open-fan engine (CFM RISE program, Safran/GE Aerospace, launched 2021) - real, >20% fuel burn/CO2 reduction vs today's most efficient engines, real 2035 target entry into service. Same fuel compatibility as conventional (Jet A/Jet A-1, certified SAF, e-kerosene) - a more efficient conventional-fuel engine, not an alternative fuel. Capex premium (+8%) is an estimate, not a sourced pre-certification price. Not extended to long-haul: the real program and the supplied research both target the narrow-body/single-aisle replacement market specifically, not wide-body long-haul."
