variable_group,variable_name,country,operator_name,segment,technology_name,primary_energy_carrier,secondary_energy_carrier,saf_pathway,unit,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,scenario_id
policy,carbon_price,,,,,,,,eur_per_tco2,35.0,45.0,58.0,72.0,88.0,105.0,122.0,140.0,155.0,168.0,180.0,
policy,clean_fuel_subsidy,,,,,,,,share,0.08,0.094,0.108,0.122,0.136,0.15,0.164,0.178,0.192,0.206,0.22,
policy,adoption_mandate,,,,,,,,share,0.03,0.055,0.08,0.105,0.13,0.155,0.18,0.205,0.23,0.255,0.28,
policy,ets_allocation_factor,,Lufthansa Cargo,,,,,,share,0.84,0.81,0.78,0.75,0.72,0.69,0.65,0.61,0.57,0.53,0.49,
policy,saf_mandate,,,,,,saf,hefa,share,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.21,0.24,0.28,
availability,technology_availability,,,medium,drop_in_saf_freight_medium,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,long,drop_in_saf_freight_long,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,medium,hydrogen_freight_medium,,,,flag,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,long,hydrogen_freight_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,medium,hydrogen_freight_medium,,,,flag,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,long,hydrogen_freight_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,medium,drop_in_saf_freight_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,long,drop_in_saf_freight_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,Germany,Lufthansa Cargo,medium,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
market,operator_market_share,Germany,Lufthansa Cargo,long,,,,,share,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
operations,load_factor,,Lufthansa Cargo,,,,,,share,0.69,0.7,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.75,
operations,freight_rate,,Lufthansa Cargo,,,,,,eur_per_tonne_km,0.145,0.146,0.147,0.148,0.149,0.15,0.151,0.152,0.153,0.154,0.155,
delivery,planned_delivery_count,Germany,Lufthansa Cargo,long,drop_in_saf_freight_long,,,,count,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.041465,aktuellepolitiken
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.05662,0.040758,aktuellepolitiken
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.042169,0.041465,aktuellepolitiken
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.174221,fokusstrom
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.085487,0.110547,fokusstrom
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.085729,0.174221,fokusstrom
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.176213,fokusH2
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.087525,0.112327,fokusH2
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.086861,0.176213,fokusH2
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175376,technologiemix
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.086213,0.111666,technologiemix
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.086369,0.175376,technologiemix
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.178227,hohenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.088856,0.112558,hohenachfrage
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.089004,0.178227,hohenachfrage
price,primary_energy_price,Germany,,,,kerosene,,,eur_per_kwh,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.167073,niedrigenachfrage
price,primary_energy_price,Germany,,,,hydrogen,,,eur_per_kwh,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.079207,0.110128,niedrigenachfrage
price,secondary_energy_price,Germany,,,,,saf,hefa,eur_per_kwh,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.079572,0.167073,niedrigenachfrage
demand,freight_tonne_km_demand,Germany,,medium,,,,,tkm_per_year,361924463.3,361924463.3,361924463.3,361924463.3,361924463.3,412705331.5,412705331.5,412705331.5,412705331.5,412705331.5,470880196.5,
demand,freight_tonne_km_demand,Germany,,long,,,,,tkm_per_year,8026647730.2,8026647730.2,8026647730.2,8026647730.2,8026647730.2,9185835345.3,9185835345.3,9185835345.3,9185835345.3,9185835345.3,10513186637.6,
