ID,Aircraft Type,Operator,Operator Country,Status,Build Date,Build Country,First Customer Delivery Date,Delivery Date Operator,Nr. of Engines,Engine Manufacturer,Engine Type,Config (Pax/Con),Seat Total,Haul,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,registration,icao24,annual_flights_base,annual_distance_km_base,mean_stage_length_km_base,fuel_burn_per_year_base,baseline_energy_demand,data_source
1,B77L,AeroLogic,Germany,Active,2009-04-01,United States,2009-05-01,2009-05-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,13.7,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALA,3c4581,363,2130120.0549012027,5868.099324796702,26651561.18939615,318338091.98445404,bulk_matched
2,B77L,AeroLogic,Germany,Active,2009-06-01,United States,2009-07-01,2009-07-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,13.6,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALB,3c4582,345,1885013.2258717115,5463.806451802062,23722466.06300086,283351677.9747325,bulk_matched
3,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALC,3c4583,368,2003648.8781361813,5444.698038413536,25162570.01945223,300552919.67679054,type_median_fallback
4,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALD,3c4584,397,2246354.9367371667,5658.324777675483,28196589.589157306,336792597.87049,type_median_fallback
5,B77L,AeroLogic,Germany,Active,2010-05-01,United States,2010-06-01,2010-06-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,12.7,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALE,3c4585,409,2344714.569805026,5732.798459180993,29267806.87279655,349587693.2028477,bulk_matched
6,B77L,AeroLogic,Germany,Active,2010-06-01,United States,2010-07-01,2010-07-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,12.6,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALF,3c4586,379,2140168.4460660666,5646.882443446086,27006777.98752305,322580959.2954142,bulk_matched
7,B77L,AeroLogic,Germany,Active,2010-09-01,United States,2010-09-01,2010-09-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,12.3,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALG,3c4587,375,2164381.799867747,5771.684799647325,27082458.70008143,323484923.3620838,bulk_matched
8,B77L,AeroLogic,Germany,Active,2010-11-01,United States,2010-11-01,2010-11-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,12.2,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALH,3c4588,389,2262473.9292716663,5816.128352883461,28087064.42668292,335484380.652046,bulk_matched
9,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALI,3c4589,360,2057811.817566145,5716.143937683736,26052798.73615864,311186207.1263393,type_median_fallback
10,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALJ,3c458a,347,2033623.5002359147,5860.586456011281,25330155.06189921,302554629.9060184,type_median_fallback
11,B77L,AeroLogic,Germany,Active,2019-01-01,United States,2019-01-01,2019-01-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,4.0,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALK,3c458b,360,2109406.0263295155,5859.461184248654,26265102.20870137,313722054.1594886,bulk_matched
12,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALL,3c458c,374,2184047.828755858,5839.70007688732,27182951.680576727,324685256.1846665,type_median_fallback
13,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALM,3c458d,386,2273835.4535787683,5890.765423779192,28287737.05958742,337881303.76729417,type_median_fallback
14,B77L,AeroLogic,Germany,Active,2019-10-01,United States,2019-10-01,2019-10-01,2.0,GE-Aviation,GE90,Cargo,0.0,Long-haul,9070.0,3.3,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALN,3c458e,408,2305315.168214619,5650.282275035831,28991370.422922835,346285813.38491166,bulk_matched
15,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALO,3c458f,395,2332365.79562368,5904.723533224505,29111490.29940065,347720578.57617444,type_median_fallback
16,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALP,3c4590,380,2294225.1674285475,6037.434651127756,28588128.339042336,341469310.716339,type_median_fallback
17,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALQ,3c4591,390,2299058.502916199,5895.021802349229,28803792.929516565,344045304.43589234,type_median_fallback
18,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALR,3c4592,380,2185005.059989681,5750.013315762319,27731615.285114568,331238738.1277574,type_median_fallback
19,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALS,3c4593,361,2176925.5084363827,6030.264566305769,27097915.65445636,323669548.0948954,type_median_fallback
20,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALT,3c4594,391,2272994.934658907,5813.286277900018,28783511.530942254,343803054.3973658,type_median_fallback
21,B77L,AeroLogic,Germany,Active,2022-01-01,,,,,,,,0.0,Long-haul,9070.0,3.8,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALU,3c4595,372,2134809.0070874523,5738.733890020033,26696891.369854603,318879535.8065967,type_median_fallback
22,B77L,AeroLogic,Germany,Active,2023-01-01,,,,,,,,0.0,Long-haul,9070.0,3.0,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALV,3c4596,383,2216382.206021624,5786.898710239227,27852921.23710712,332687670.3321128,type_median_fallback
23,B77L,AeroLogic,Germany,Active,2025-01-01,,,,,,,,0.0,Long-haul,9070.0,1.0,Leipzig,kerosene_freight_long,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,D-AALW,3c4597,400,2169210.8356222594,5423.0270890556485,27380650.82338048,327046662.6126002,type_median_fallback
