ID,Vessel Type,Operator,Operator Country,Status,Build Date,Segment,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,imo,real_name,data_source
1,Container Ship,Hapag-Lloyd AG,Germany,Active,2015.0,deepsea,20000,11.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9708851,BARZAN,mrv_or_finaldata_verified
2,Container Ship,CPO Genova Offen Reederei,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9461386,MSC GENOVA,mrv_or_finaldata_verified
3,Container Ship,CPO La Spezia Offen Reederei,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9461403,MSC LA SPEZIA,mrv_or_finaldata_verified
4,Container Ship,CPO Livorno Offen Reederei,Germany,Active,2010.0,deepsea,20000,16.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9461427,MSC LIVORNO,mrv_or_finaldata_verified
5,Container Ship,Hapag-Lloyd AG,Germany,Active,2014.0,deepsea,20000,12.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9708784,BRUSSELS EXPRESS,mrv_or_finaldata_verified
6,Container Ship,Hapag-Lloyd AG,Germany,Active,2015.0,deepsea,20000,11.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9708801,LINAH,mrv_or_finaldata_verified
7,Container Ship,Hapag-Lloyd AG,Germany,Active,2016.0,deepsea,20000,10.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9732333,UMM QARN,mrv_or_finaldata_verified
8,Container Ship,Hapag-Lloyd AG,Germany,Active,2012.0,deepsea,20000,14.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9501344,BASLE EXPRESS,mrv_or_finaldata_verified
9,Container Ship,Hapag-Lloyd AG,Germany,Active,2014.0,deepsea,20000,12.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9613020,ULSAN EXPRESS,mrv_or_finaldata_verified
10,Container Ship,Hapag-Lloyd AG,Germany,Active,2013.0,deepsea,20000,13.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9501370,ESSEN EXPRESS,mrv_or_finaldata_verified
11,Container Ship,Hapag-Lloyd AG,Germany,Active,2012.0,deepsea,20000,14.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9501332,NEW YORK EXPRESS,mrv_or_finaldata_verified
12,Container Ship,Hapag-Lloyd AG,Germany,Active,2013.0,deepsea,20000,13.0,Hamburg,marine_diesel_deepsea,0.0,0.0,0,0.15,ambiguity_aware_utility,risk_neutral,9501356,HONG KONG EXPRESS,mrv_or_finaldata_verified
