variable_group,variable_name,country,operator_name,segment,technology_name,primary_energy_carrier,secondary_energy_carrier,saf_pathway,unit,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,scenario_id
price,secondary_energy_price,Germany,,,,,battery,none,eur_per_kwh,0.154,0.151,0.148,0.144,0.141,0.138,0.134,0.131,0.128,0.125,0.122,
policy,carbon_price,,,,,,,,eur_per_tco2,35.0,45.0,58.0,72.0,88.0,105.0,122.0,140.0,155.0,168.0,180.0,
policy,clean_fuel_subsidy,,,,,,,,share,0.08,0.094,0.108,0.122,0.136,0.15,0.164,0.178,0.192,0.206,0.22,
policy,adoption_mandate,,,,,,,,share,0.03,0.055,0.08,0.105,0.13,0.155,0.18,0.205,0.23,0.255,0.28,
policy,ets_allocation_factor,,Lufthansa,,,,,,share,0.85,0.82,0.79,0.76,0.73,0.7,0.66,0.62,0.58,0.54,0.5,
policy,ets_allocation_factor,,Eurowings,,,,,,share,0.86,0.83,0.8,0.77,0.74,0.71,0.68,0.64,0.6,0.56,0.52,
policy,ets_allocation_factor,,Ryanair,,,,,,share,0.88,0.85,0.82,0.79,0.76,0.73,0.7,0.67,0.63,0.59,0.55,
policy,saf_mandate,,,,,,saf,hefa,share,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.21,0.24,0.28,
availability,technology_availability,,,long,drop_in_saf_long,,,,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,short,hybrid_electric_short,,,,flag,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,technology_availability,,,long,hydrogen_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,short,drop_in_saf_short,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,medium,drop_in_saf_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,saf_availability,Germany,,long,drop_in_saf_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,short,hybrid_electric_short,,,,flag,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
availability,infrastructure_availability,Germany,,long,hydrogen_long,,,,flag,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,
branch,secondary_energy_cap_active,Germany,,short,drop_in_saf_short,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,secondary_energy_cap_active,Germany,,medium,drop_in_saf_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,secondary_energy_cap_active,Germany,,long,drop_in_saf_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,secondary_energy_cap_active,Germany,,short,hybrid_electric_short,,battery,none,flag,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,drop_in_mandate_active,Germany,,short,drop_in_saf_short,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,drop_in_mandate_active,Germany,,medium,drop_in_saf_medium,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,drop_in_mandate_active,Germany,,long,drop_in_saf_long,,saf,hefa,flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
branch,maximum_secondary_energy_share,Germany,,short,drop_in_saf_short,,saf,hefa,share,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
branch,maximum_secondary_energy_share,Germany,,medium,drop_in_saf_medium,,saf,hefa,share,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
branch,maximum_secondary_energy_share,Germany,,long,drop_in_saf_long,,saf,hefa,share,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,
branch,maximum_secondary_energy_share,Germany,,short,hybrid_electric_short,,battery,none,share,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
demand,economy_occupancy,,Lufthansa,,,,,,share,0.79,0.79,0.8,0.8,0.81,0.81,0.82,0.82,0.83,0.83,0.84,
demand,economy_occupancy,,Eurowings,,,,,,share,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.86,0.86,0.87,
demand,economy_occupancy,,Ryanair,,,,,,share,0.88,0.88,0.89,0.89,0.9,0.9,0.91,0.91,0.92,0.92,0.93,
demand,business_occupancy,,Lufthansa,,,,,,share,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.66,
demand,business_occupancy,,Eurowings,,,,,,share,0.48,0.48,0.49,0.49,0.5,0.5,0.51,0.51,0.52,0.52,0.53,
demand,business_occupancy,,Ryanair,,,,,,share,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.39,0.4,
