ID,Aircraft Type,Operator,Operator Country,Status,Build Date,Build Country,First Customer Delivery Date,Delivery Date Operator,Nr. of Engines,Engine Manufacturer,Engine Type,Config (Pax/Con),Seat Total,Haul,Range (km),Age (Years),Main Hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,decision_attitude,registration,icao24,annual_flights_base,annual_distance_km_base,mean_stage_length_km_base,fuel_burn_per_year_base,baseline_energy_demand,data_source
27,A319,Lufthansa CityLine,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Munich,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGH,3c48e8,1623,1036367.9333763422,638.5507907432792,4378314.6211251775,52296535.7523285,type_median_fallback
28,A319,Eurowings,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Dusseldorf,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGJ,3c48ea,1552,1219938.6302954664,786.0429318914088,4916718.513286661,58727471.13092401,type_median_fallback
29,A319,Lufthansa CityLine,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Munich,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGK,3c48eb,1493,964317.0701032238,645.8922103839409,4063110.84001726,48531601.70020617,type_median_fallback
30,A319,Eurowings,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Dusseldorf,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGN,3c48ee,1530,1258850.8989333203,822.7783653158958,5016194.006321363,59915650.63106072,type_median_fallback
31,A319,Lufthansa CityLine,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Munich,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGP,3c48f0,1629,1060095.2726083351,650.764439906897,4456539.918733842,53230893.47376532,type_median_fallback
32,A319,Eurowings,Germany,Active,2001-01-01,,,,,,,,138.0,Short-haul,6950.0,25.450000000000003,Dusseldorf,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABGQ,3c48f1,1784,1372180.073563071,769.1592340600174,5550034.302936083,66292076.396181,type_median_fallback
33,A320,Eurowings,Germany,Active,2016-01-01,,,,,,,,168.0,Short-haul,6100.0,10.25,Dusseldorf,kerosene_short,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABHF,3c4906,872,937533.0423376324,1075.1525714881109,3783023.256822591,45186111.12315872,type_median_fallback
34,B738,TUIfly,Germany,Active,2010-01-01,United States,2010-01-01,2015-04-01,2.0,CFM International,CFM56-7,Pax,189.0,Medium-haul,5665.0,13.0,Hannover,kerosene_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABKI,3c4969,468,907032.9885133808,1938.1046763106424,3294788.508086155,39354418.29102907,bulk_matched
35,B738,TUIfly,Germany,Active,2014-01-01,,,,,,,,189.0,Medium-haul,5665.0,12.35,Hannover,kerosene_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABKJ,3c496a,347,691640.3557654631,1993.1998725229485,2500307.2492680587,29864781.03292404,type_median_fallback
36,B738,TUIfly,Germany,Active,2014-01-01,,,,,,,,189.0,Medium-haul,5665.0,12.35,Hannover,kerosene_medium,0.0,0.0,0,0.15,ambiguity_aware_utility,ambiguity_averse,D-ABKM,3c496d,443,875748.6767487144,1976.859315459852,3170724.7760308143,37872545.93592362,type_median_fallback
