icao24,registration,operator_name,aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km,typecode,segment,annual_flights_base,annual_distance_km_base,mean_stage_length_km_base,baseline_energy_demand,fuel_burn_per_year_base,activity_assignment_method,domestic_activity_share_base,main_hub_base,international_activity_share_base,airport_allocation_group
3c01c3,D-APRI,German Airways,E190,E190,2025,372,196244.61359443289,731647.7046044992,8739.12536055374,2312006.7465502173,0.0,527.5392838560024,1966.794904850804,3.728243497763216,0.0445317973343939,11.78124945293176,E190,short,372,196244.61359443289,527.5392838560024,8739125.36055374,731647.7046044992,openap_type,0.21235752849430115,EDDF,0.7876424715056989,EDDF
3c01c3,D-APRI,German Airways,E190,E190,2026,1290,561195.1144276287,2109329.517279778,25194.769234175128,6665481.274604099,0.0,435.0349724245184,1635.1391606819986,3.758638418353152,0.0448948477747737,11.87729740199596,E190,short,1290,561195.1144276287,435.0349724245184,25194769.234175127,2109329.517279778,openap_type,0.21235752849430115,EDDF,0.7876424715056989,EDDF
3c088d,D-ASGE,Condor,A320,A320,2025,188,82099.59716757345,406245.9906604421,4852.382666221946,1283737.3304869968,0.0,436.6999849339013,2160.8829290449044,4.948209305232687,0.0591036111458348,15.636341404535289,A320,short,188,82099.59716757345,436.6999849339013,4852382.6662219465,406245.9906604421,openap_type,0.3954183266932271,EDDF,0.6045816733067729,EDDF
3c088d,D-ASGE,Condor,A320,A320,2026,813,485412.4027955732,2204558.3669297355,26332.2249383274,6966404.439497964,0.0,597.0632260708157,2711.6339076626514,4.541619361667123,0.0542471201532461,14.35151718286811,A320,short,813,485412.4027955732,597.0632260708157,26332224.938327394,2204558.3669297355,openap_type,0.3954183266932271,EDDF,0.6045816733067729,EDDF
3c0893,D-ASGK,Sundair,A320,A320,2025,30,57004.06202893313,210066.74693407147,2509.130588379187,663810.9203116659,0.0,1900.1354009644376,7002.224897802383,3.685118910077837,0.0440166980925963,11.644975755845966,A320,medium,30,57004.06202893313,1900.1354009644376,2509130.588379187,210066.74693407147,openap_type,0.19014084507042253,EDDW,0.8098591549295775,EDDW
3c0893,D-ASGK,Sundair,A320,A320,2026,94,149257.3730040754,563775.8445900708,6733.989254825845,1781531.6689046237,0.0,1587.844393660377,5997.615367979476,3.7772059982234656,0.0451166272010025,11.935970954386152,A320,medium,94,149257.3730040754,1587.844393660377,6733989.254825845,563775.8445900708,openap_type,0.19014084507042253,EDDW,0.8098591549295775,EDDW
3c0936,D-ASMR,Sundair,A320,A320,2025,84,132621.91887752106,499707.3999373505,5968.727277029464,1579075.3838020274,0.0,1578.8323675895365,5948.897618301791,3.767909589657197,0.0450055867653498,11.906594303316744,A320,medium,84,132621.91887752106,1578.8323675895365,5968727.277029464,499707.3999373505,openap_type,0.22012578616352202,EDDB,0.779874213836478,EDDB
3c0936,D-ASMR,Sundair,A320,A320,2026,58,107845.38052631578,395963.98266115,4729.569792897069,1251246.185209234,0.0,1859.403112522686,6826.96521829569,3.671589647407561,0.0438550985662569,11.602223285807892,A320,medium,58,107845.38052631578,1859.403112522686,4729569.79289707,395963.98266115,openap_type,0.22012578616352202,EDDB,0.779874213836478,EDDB
3c09f2,D-ASTX,Lufthansa CityLine,A319,A319,2025,683,420868.39058143104,1790958.1273155748,21391.999854047142,5659427.682317217,0.0,616.2055498996062,2622.193451413726,4.255387592404743,0.0508282406870566,13.447024791998988,A319,short,683,420868.39058143104,616.2055498996062,21391999.854047146,1790958.1273155748,openap_type,0.7088319088319088,EDDM,0.29116809116809117,EDDM
3c09f2,D-ASTX,Lufthansa CityLine,A319,A319,2026,1070,688668.1322916399,2906602.7916815686,34717.75556730762,9184864.821713757,0.0,643.6150769080747,2716.451207179036,4.220614626103635,0.0504128969229045,13.337142218487488,A319,short,1070,688668.1322916399,643.6150769080747,34717755.56730762,2906602.7916815686,openap_type,0.7088319088319088,EDDM,0.29116809116809117,EDDM
