aircraft_id,aircraft_type,operator_name,operator_country,status,build_date,build_country,first_customer_delivery_date,delivery_date_operator,exit_date_operator,engine_count,engine_manufacturer,engine_type,config_type,seat_total,haul,range_km,aircraft_age_years,main_hub,current_technology,operator_economic_weight,operator_environmental_weight,free_ets_allocation,peer_influence,investment_logic,build_year,segment,registration,icao24,serial_number,registration_prefix,is_german_flag,operator_name_normalized,status_normalized,aircraft_type_normalized,annual_flights_base,annual_distance_km_base,domestic_activity_share_base,international_activity_share_base,mean_stage_length_km_base,fuel_burn_per_year_base,baseline_energy_demand,airport_allocation_group,main_hub_base,match_confidence,match_method,activity_assignment_method,operator_key
321,Airbus A319-100,Lufthansa,Germany,Parked,1996-06-01,Germany,1996-07-01,1996-07-01,,2,CFM International,CFM56-5,Pax,138,Medium-haul,6950,26.6,Frankfurt,kerosene_medium,0.69,0.31,1200000,0.24,legacy_weighted_utility,1996,medium,,,,,False,LUFTHANSA,parked,airbusa319-100,,,,,,,,,,,,,Lufthansa::Germany
3242,Airbus A319-100,Lufthansa,Germany,Parked,1996-07-01,Germany,1996-08-01,2019-01-01,,2,CFM International,CFM56-5,Pax,138,Medium-haul,6950,26.5,Frankfurt,kerosene_medium,0.69,0.31,1200000,0.24,legacy_weighted_utility,1996,medium,,,,,False,LUFTHANSA,parked,airbusa319-100,,,,,,,,,,,,,Lufthansa::Germany
353,Airbus A319-100,Lufthansa,Germany,Active,1996-08-01,Germany,1996-09-01,1996-09-01,,2,CFM International,CFM56-5,Pax,138,Medium-haul,6950,26.4,Frankfurt,kerosene_medium,0.69,0.31,1200000,0.24,legacy_weighted_utility,1996,medium,,,,,False,LUFTHANSA,active,airbusa319-100,,,,,,,,,,,,,Lufthansa::Germany
1241,Airbus A319-100,Lufthansa,Germany,Active,1996-09-01,Germany,1996-10-01,1996-10-01,,2,CFM International,CFM56-5,Pax,138,Medium-haul,6950,26.3,Frankfurt,kerosene_medium,0.69,0.31,1200000,0.24,legacy_weighted_utility,1996,medium,,,,,False,LUFTHANSA,active,airbusa319-100,,,,,,,,,,,,,Lufthansa::Germany
7101,Airbus A320-200,Eurowings,Germany,Active,2008-04-01,Germany,2008-05-01,2009-03-01,,2,CFM International,CFM56-5B,Pax,180,Short-haul,6150,18.0,Dusseldorf,kerosene_short,0.74,0.26,520000,0.2,legacy_weighted_utility,2008,short,,,,,False,EUROWINGS,active,airbusa320-200,,,,,,,,,,,,,Eurowings::Germany
7102,Airbus A320-200,Eurowings,Germany,Active,2009-02-01,Germany,2009-03-01,2009-07-01,,2,CFM International,CFM56-5B,Pax,180,Short-haul,6150,17.2,Dusseldorf,kerosene_short,0.74,0.26,520000,0.2,legacy_weighted_utility,2009,short,,,,,False,EUROWINGS,active,airbusa320-200,,,,,,,,,,,,,Eurowings::Germany
7103,Airbus A321-200,Eurowings,Germany,Active,2011-03-01,Germany,2011-04-01,2012-01-01,,2,IAE,V2533-A5,Pax,220,Medium-haul,5950,15.8,Dusseldorf,kerosene_medium,0.74,0.26,520000,0.2,legacy_weighted_utility,2011,medium,,,,,False,EUROWINGS,active,airbusa321-200,,,,,,,,,,,,,Eurowings::Germany
8801,Boeing 777-300ER,Air France,France,Active,2014-01-01,United States,2014-02-01,2015-01-01,,2,GE Aviation,GE90-115B,Pax,381,Long-haul,13649,12.2,Paris CDG,kerosene_long,0.63,0.37,1380000,0.27,legacy_weighted_utility,2014,long,,,,,False,AIR FRANCE,active,boeing777-300er,,,,,,,,,,,,,Air France::France
8802,Airbus A350-900,Air France,France,Active,2019-04-01,France,2019-05-01,2019-09-01,,2,Rolls-Royce,Trent XWB,Pax,324,Long-haul,15000,7.0,Paris CDG,kerosene_long,0.63,0.37,1380000,0.27,legacy_weighted_utility,2019,long,,,,,False,AIR FRANCE,active,airbusa350-900,,,,,,,,,,,,,Air France::France
8803,Airbus A320-200,Air France,France,Active,2007-02-01,France,2007-03-01,2007-05-01,,2,CFM International,CFM56-5B,Pax,174,Short-haul,6150,19.1,Paris CDG,kerosene_short,0.63,0.37,1380000,0.27,legacy_weighted_utility,2007,short,,,,,False,AIR FRANCE,active,airbusa320-200,,,,,,,,,,,,,Air France::France
9901,Boeing 737-800,Ryanair,Ireland,Active,2015-06-01,United States,2015-07-01,2015-09-01,,2,CFM International,CFM56-7B,Pax,189,Short-haul,5436,11.0,Dublin,kerosene_short,0.78,0.22,410000,0.31,legacy_weighted_utility,2015,short,,,,,False,RYANAIR,active,boeing737-800,,,,,,,,,,,,,Ryanair::Ireland
9902,Boeing 737-8200,Ryanair,Ireland,Active,2021-05-01,United States,2021-06-01,2021-08-01,,2,CFM International,LEAP-1B,Pax,197,Short-haul,5740,4.0,Dublin,kerosene_short,0.78,0.22,410000,0.31,legacy_weighted_utility,2021,short,,,,,False,RYANAIR,active,boeing737-8200,,,,,,,,,,,,,Ryanair::Ireland
9903,Boeing 737-800,Ryanair,Ireland,Active,2016-01-01,United States,2016-02-01,2016-04-01,,2,CFM International,CFM56-7B,Pax,189,Short-haul,5436,10.4,Dublin,kerosene_short,0.78,0.22,410000,0.31,legacy_weighted_utility,2016,short,,,,,False,RYANAIR,active,boeing737-800,,,,,,,,,,,,,Ryanair::Ireland
