origin,flights_n,fuel_demand_tonnes
EDDF,106233,1420696.6014447657
EDDM,64122,674550.2973911419
EDDP,9731,257831.31566566156
VHHH,1663,150906.23110013115
KLAX,1519,145187.30833031036
KORD,1200,93371.35650908643
EDDL,23030,86381.80611546354
RJTT,690,74424.78103624997
KSFO,666,70095.71840171143
KJFK,1084,65852.16335302564
KCVG,765,63663.51303732432
VTBS,888,58433.09967747308
MMMX,474,56099.30310537626
EDDH,16841,52314.51550445534
KBOS,677,48886.90997364282
VIDP,670,48366.84207764232
CYVR,575,45476.41403405179
KIAD,506,45065.4787089691
LEPA,8961,44204.69447722006
KSEA,665,43960.62961859188
EDDB,14494,42481.197739731295
RKSI,624,41425.48146886657
EDDS,11600,37889.043665254445
KEWR,532,36258.21724150043
KDEN,444,35809.95949234684
OMDB,911,35762.20699158086
CYYZ,758,35256.90510495833
KATL,391,32254.11309237884
KMIA,342,31036.4822365587
LEBL,6172,26692.960413974986
FACT,349,25989.32759083124
EGLL,11318,25852.510770022258
EDDK,7289,24018.476834007368
RJAA,621,23929.88514350413
KSAN,284,23673.83251276844
SAEZ,181,23023.38716064999
KMCO,439,22979.940369156386
KIAH,250,21747.89870535172
SBGR,195,20640.758182928937
LEMD,3287,19619.29666376125
KDFW,282,19096.542531657462
EHAM,8690,18534.072499719623
CYUL,330,18454.743338366243
LPPT,2581,18399.19712490627
LEMG,2658,18071.38293645762
ZGSZ,171,18003.82879321381
LIRF,4447,16649.02607461938
LGAV,2708,16500.09565674821
LIMC,3284,15633.952977088458
CYYC,294,15302.01503240248
ESSA,3281,14999.474710322796
LPPR,2355,14948.228967450399
MMUN,245,14266.531738581147
KCLT,216,14230.32817139804
EDDV,4277,13465.983054243383
LGRP,1738,13417.14044792556
KLAS,214,12893.447932941299
SKBO,174,12582.679584837877
RJBB,154,12528.28036311059
LPMA,1274,12400.077240098473
LPFR,1714,12378.312460105943
LLBG,1182,12261.209498067614
LHBP,3803,12213.555895638341
LCLK,1416,11881.645962857625
LFPG,4580,11566.012205932511
LSZH,4942,11541.263055384412
EGNX,846,10952.160023353226
ENGM,2534,10934.160506140475
EIDW,2491,10777.843767951194
EKCH,3484,10581.623970146124
LOWW,3365,10545.402957044023
LROP,2215,10476.394298679486
WSSS,173,10216.15495344884
