origin,destination,flights_n,fuel_demand_tonnes
VHHH,EDDP,756,75915.22563780702
EDDF,KLAX,614,65357.83597764648
KORD,EDDF,751,63487.547734362255
KLAX,EDDF,612,58737.262683872024
EDDF,KJFK,900,52273.974324420626
EDDF,KSFO,487,51908.36138980824
KLAX,EDDM,345,47679.92269639596
EDDF,KORD,528,46853.79354068863
KJFK,EDDF,738,46385.961831652436
RJTT,EDDF,344,45626.597438229655
KCVG,EDDP,509,45217.89461536102
EDDF,CYYZ,701,44868.299301164145
MMMX,EDDF,324,43501.169999999904
EDDM,KLAX,314,43239.930286204355
EDDF,CYVR,462,40538.04146769333
EDDF,KMIA,355,38857.47863736241
EDDF,KIAH,362,38189.69876908102
KSFO,EDDM,341,38182.10983657693
EDDP,VHHH,367,36545.363184589725
EDDF,KSEA,546,36291.37323004503
EDDF,VABB,504,36172.72862756269
EDDF,KIAD,457,35481.26824985838
EDDF,KATL,462,34228.21697892752
EDDF,KBOS,522,32727.598209381515
EDDF,MMMX,242,32487.749999999935
KSFO,EDDF,321,31474.840104041756
KATL,EDDF,378,31301.746501602425
EDDM,VIDP,325,30814.856787413224
KSEA,EDDF,451,30237.988642149696
EDDP,VTBS,277,29209.649999999994
KBOS,EDDM,342,28693.637258571252
EDDM,KORD,433,28625.774017187614
EDDM,KBOS,339,28382.740287289635
RJTT,EDDM,339,28107.180721694982
KORD,EDDM,423,27964.67069115557
EDDM,KDEN,284,27216.143229370904
CYVR,EDDF,329,27065.15147826346
KIAD,EDDM,267,26346.195767276586
EDDF,KEWR,316,26266.116112546173
EDDM,RJTT,312,25868.55570846264
KLAX,EDDP,241,25413.449999999997
EDDP,RJAA,241,25413.449999999997
KSAN,EDDM,280,23520.00000000003
EDDM,KSAN,279,23436.00000000003
EDDM,KJFK,336,23079.391967555643
SAEZ,EDDF,180,22992.539999999954
EDDF,SBGR,171,22967.009999999947
EDDF,VHHH,243,22959.359262900743
EDDF,RJTT,173,22945.934176784107
EDDM,KIAD,221,22909.086613508807
RKSI,EDDF,262,22661.544014149284
EDDF,KDFW,294,21626.487218477072
EDDF,KDEN,294,21574.927407409785
CYYZ,EDDF,381,21333.744742759154
KDEN,EDDF,285,20928.635688602462
KMIA,EDDF,195,20449.9072133355
KEWR,EDDM,340,20327.550957952095
EDDF,VOYK,186,20281.668822237334
KBOS,EDDF,327,20070.20439654597
EDDM,KCLT,294,19627.67905576148
EDDP,RKSI,184,19402.799999999996
EDDF,VIDP,272,19346.362756148494
EDDF,MMJC,181,19115.309999999994
EDDM,KSFO,167,18831.897364121793
EDDP,VIDP,260,18657.164138380213
KDFW,EDDF,223,18615.269535021416
KIAD,EDDF,237,18607.529872253635
EDDF,CYYC,356,18406.273633398792
EDDM,KEWR,307,18354.5827767391
CYVR,EDDM,245,18321.097911121808
EDDM,VABB,283,18033.680132182173
KIAH,EDDF,165,17529.41607515795
EDDM,VTBS,159,17037.836869367544
EDDF,KDTW,287,17020.973541261614
EDDF,MMUN,290,16861.772463113357
EDDF,RJAA,157,16555.649999999998
VTBS,EDDM,154,16520.51714861337
CYUL,EDDM,282,16032.8284614354
VIDP,EDDM,167,15944.675057950764
KEWR,EDDF,189,15811.36038434893
EDDF,KTPA,298,15788.181906488626
EDDF,FACT,221,15691.046297620547
KMCO,EDDF,296,15466.254682514991
EDDF,SAEZ,115,15445.649999999969
EDDP,WSAP,146,15395.699999999997
VHHH,EDDF,178,15202.274915299187
EDDM,CYVR,202,15105.558277741242
EDDF,KMCO,284,14898.449281879623
EDDP,OMDB,230,14882.175357438548
KDEN,EDDM,158,14810.096602790272
FACT,EDDF,205,14404.30068475834
EDDM,CYUL,253,14384.06241398282
VHHH,KLAX,136,14341.199999999997
KCVG,EBBR,204,14168.25377549243
MMUN,EDDF,243,14129.166361421063
KCLT,EDDM,211,14086.531567230177
EDDP,OBBI,253,13535.670570801612
ZGSZ,KLAX,123,12970.349999999999
VIDP,EDDF,175,12876.498537024498
KLAS,EDDF,213,12834.781038093148
EDDF,KLAS,212,12774.482206218347
KSEA,EDDM,164,12441.23454418416
SKBO,EDDF,172,12438.978420947327
MMMX,EDDM,148,12432.000000000015
RKSI,EDDM,162,12319.46608991057
RJBB,EDDM,149,12206.987890221302
