raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
A20N,A20N,2025,20912,22841670.93599425,55456233.46702411,662393.8997450102,175241697.7557962,0.0,1092.275771614109,2651.88568606657,2.427853619922146,0.02899936268240341,7.672017438953982
A20N,A20N,2026,42899,42426414.59923661,105320093.76984327,1257990.0089175724,332811496.31270474,0.0,988.983766503569,2455.071068552723,2.482417964485227,0.02965110346468466,7.844440767773318
A21N,A21N,2025,8539,13111105.059001489,42281424.32497564,505028.1238816534,133609300.86692302,0.0,1535.4379973066505,4951.566263611154,3.2248558862662104,0.0385191119748464,10.190544600601225
A21N,A21N,2026,18287,26119153.511472054,84657551.54917817,1011187.4212818503,267517862.89540303,0.0,1428.2907809630915,4629.384346758799,3.241205788388007,0.038714402472412306,10.242210291306105
A306,B763,2025,4948,4337600.634423931,23333266.45146901,278702.904836991,73733121.98664208,0.0,876.6371532788867,4715.6965342500025,5.379302618662555,0.06425278127846941,16.998596274973675
A306,B763,2026,8247,7096237.411303332,38173973.97057808,455966.9113152383,120629757.74702676,0.0,859.8373211321134,4625.466372298326,5.379466857996067,0.06425474302606415,16.999115271267573
A319,A319,2025,31425,21394983.551447928,88140910.90929647,1052794.2136388188,278525278.47337687,0.0,680.8268433237208,2804.802256461304,4.119699867838012,0.049207526199176246,13.01825158236812
A319,A319,2026,53027,36891260.595832676,151388345.3543162,1808249.680620999,478387171.3196392,0.0,695.7071038495988,2854.9294765745035,4.103637092070998,0.04901566526640359,12.967493210944355
A320,A320,2025,42026,37222962.20188287,155449000.4877602,1856751.9502704688,491218841.54132223,0.0,885.7127064646378,3698.8768973435535,4.176158781900948,0.049881896561594655,13.196661750806996
A320,A320,2026,73090,64914971.988932356,270513654.08229065,3231135.312649583,854823146.9000385,0.0,888.1512106845308,3701.103489975245,4.1671997351922405,0.049774885725907325,13.16835116320748
A321,A321,2025,25045,26348444.878947955,124270201.23971993,1484338.5148077658,392693835.91751504,0.0,1052.044115749569,4961.876671579953,4.716415022239514,0.05633495721008309,14.903871470276867
A321,A321,2026,44810,45183578.50496335,214878897.29683563,2566609.0510455365,679017315.4580007,0.0,1008.3369449891397,4795.333570560938,4.755685680655672,0.05680402340783163,15.027966750871924
A332,A332,2025,571,2757884.3556536823,19551450.63036113,233531.21586264684,61782583.99194118,0.0,4829.920062440775,34240.719142488844,7.08929313525439,0.08467766800442746,22.402166307403878
A332,A332,2026,898,4048415.6929056486,28780008.66995394,343761.2146688943,90944827.39705445,0.0,4508.258009917204,32049.007427565633,7.108955910922727,0.08491252893602147,22.46430067851582
A333,A333,2025,1912,12256976.916190319,85004061.14421917,1015326.2858892847,268612833.21573263,0.0,6410.552780434267,44458.19097501003,6.9351571537951395,0.08283659933699751,21.915096605992645
A333,A333,2026,3127,20162105.841546636,139776821.1469725,1669556.4748110606,441694754.82443315,0.0,6447.7473110158735,44699.97478316997,6.9326499049987245,0.08280665164304032,21.90717369979597
