origin,destination,route,raw_aircraft_type,openap_type,year,number_of_trips,total_distance_km,total_fuel_kg,total_energy_mwh,total_co2_kg,total_nox_kg,average_flight_distance_km,average_fuel_kg_per_flight,fuel_kg_per_km,energy_mwh_per_km,co2_kg_per_km
BIKF,EDDF,BIKF-EDDF,A20N,A20N,2025,25,59967.68202750057,128678.88215110515,1536.9977590270892,406625.2675974923,0.0,2398.7072811000226,5147.155286044206,2.145803836341287,0.025630434711854257,6.780740122838467
BIKF,EDDF,BIKF-EDDF,A20N,A20N,2026,6,14392.243686600135,30882.931716265237,368.8794621665014,97590.06422339815,0.0,2398.7072811000226,5147.155286044206,2.145803836341287,0.02563043471185426,6.780740122838467
BIKF,EDDF,BIKF-EDDF,A21N,A21N,2025,32,76758.63299520072,244580.76091148777,2921.3813108872155,772875.2044803014,0.0,2398.7072811000226,7643.148778483993,3.1863616034795723,0.038059319152672674,10.068902666995449
BIKF,EDDF,BIKF-EDDF,A21N,A21N,2026,184,441362.1397224041,1406339.3752410547,16797.942537601488,4444032.425761733,0.0,2398.7072811000226,7643.148778483993,3.1863616034795723,0.038059319152672674,10.06890266699545
BIKF,EDDF,BIKF-EDDF,A321,A321,2025,42,100745.70580620095,422196.07729928574,5042.897589963691,1334139.604265743,0.0,2398.7072811000226,10052.287554744898,4.190710402202566,0.05005570758186398,13.242644870960108
BIKF,EDDF,BIKF-EDDF,A321,A321,2026,11,26385.78009210025,110575.16310219388,1320.7588926095382,349417.51540293265,0.0,2398.7072811000226,10052.287554744898,4.190710402202566,0.050055707581863985,13.242644870960106
BIKF,EDDF,BIKF-EDDF,A339,A333,2026,1,2398.7072811000226,18944.04122102453,226.276047917793,59863.17025843752,0.0,2398.7072811000226,18944.04122102453,7.897604418133499,0.09433249721659456,24.956429961301858
BIKF,EDDF,BIKF-EDDF,B744,B744,2025,1,2398.7072811000226,42427.91149967626,506.7778318016887,134072.20033897698,0.0,2398.7072811000226,42427.91149967626,17.687823701531123,0.21127122754606623,55.893522896838356
BIKF,EDDL,BIKF-EDDL,A20N,A20N,2026,4,8847.748284897269,19190.41401480589,229.21883406573704,60641.70828678663,0.0,2211.937071224317,4797.603503701473,2.1689602141556303,0.025907024780192252,6.8539142767317935
BIKF,EDDL,BIKF-EDDL,A319,A319,2026,3,6635.811213672951,22402.818387333293,267.58921962648094,70792.9061039732,0.0,2211.937071224317,7467.606129111097,3.3760481824999404,0.040325019957638174,10.668312256699812
BIKF,EDDL,BIKF-EDDL,A320,A320,2026,1,2211.937071224317,8011.081934360606,95.6879231048628,25315.01891257952,0.0,2211.937071224317,8011.081934360606,3.621749478580978,0.04325978543860613,11.444728352315892
BIKF,EDDM,BIKF-EDDM,A320,A320,2025,45,121014.50596489175,427696.6904055072,5108.599357621335,1351521.5416814026,0.0,2689.211243664261,9504.37089790016,3.5342596905662607,0.042214768526208105,11.168260622189381
BIKF,EDDM,BIKF-EDDM,A320,A320,2026,74,199001.6320311553,703323.4464446119,8400.807832532862,2222502.0907649733,0.0,2689.211243664261,9504.37089790016,3.5342596905662607,0.042214768526208105,11.168260622189383
BIKF,EDFB,BIKF-EDFB,A321,A321,2026,1,2386.7630697028644,10008.728635951296,119.54870315164048,31627.58248960609,0.0,2386.7630697028644,10008.728635951296,4.193432001274141,0.05008821557077447,13.251245124026285
BIKF,EDML,BIKF-EDML,A320,A320,2026,1,2687.8688273065686,9500.199270606776,113.47460239891429,30020.62969511741,0.0,2687.8688273065686,9500.199270606776,3.5344728039152997,0.04221731404676608,11.168934060372347
BIKF,EGNX,BIKF-EGNX,A306,B763,2025,26,45115.78241057325,238768.25595012592,2851.9541682931704,754507.6888023979,0.0,1735.2224004066634,9183.394459620227,5.292344345870607,0.06321411302012113,16.723808132951117
BIKF,EIDW,BIKF-EIDW,A320,A320,2025,1,1495.1764458717096,5728.071818334688,68.41863560788656,18100.70694593761,0.0,1495.1764458717096,5728.071818334688,3.831034012173151,0.04575957292317931,12.106067478467155
BIKF,KDEN,BIKF-KDEN,A359,A359,2025,1,5725.482899027053,53277.76847211202,636.3733456391158,168357.74837187398,0.0,5725.482899027053,53277.76847211202,9.30537553106056,0.11114754106544558,29.404986678151374
BIKF,KLAX,BIKF-KLAX,B748,B748,2026,1,6928.304913639301,102658.31940400388,1226.1965928811571,324400.2893166522,0.0,6928.304913639301,102658.31940400388,14.817234617071653,0.17698363570391137,46.82246138994642
BIKF,KSFO,BIKF-KSFO,B744,B744,2026,1,6748.765104582281,104438.09053756647,1247.454970309822,330024.3660987101,0.0,6748.765104582281,104438.09053756647,15.47514084712402,0.18484196011842585,48.90144507691191
BIKF,LEBL,BIKF-LEBL,A21N,A21N,2026,1,2980.633456023026,9379.50716050153,112.03300219487936,29639.242627184834,0.0,2980.633456023026,9379.50716050153,3.146816708222935,0.037586977348218385,9.943940797984475
BKPR,EDDF,BKPR-EDDF,A319,A319,2025,3,3794.767206089148,13922.344292024976,166.29466793252055,43994.607962798924,0.0,1264.922402029716,4640.781430674992,3.668826975653459,0.043822099986971876,11.59349324306493
BKPR,EDDF,BKPR-EDDF,A320,A320,2025,5,6324.61201014858,24919.864653942077,297.65393892208584,78746.77230645696,0.0,1264.922402029716,4983.972930788415,3.9401412472346506,0.047062798230858315,12.450846341261494
BKPR,EDDH,BKPR-EDDH,A319,A319,2025,17,25040.927326053778,89569.86840351325,1069.862317041964,283040.78415510186,0.0,1472.9957250619868,5268.815788441956,3.5769389542663013,0.04272454862040305,11.303127095481512
BKPR,EDDL,BKPR-EDDL,A20N,A20N,2025,2,2896.4645045857264,6709.689152350689,80.14350931974435,21202.617721428174,0.0,1448.2322522928632,3354.8445761753446,2.316510056217781,0.02766942567149017,7.320171777648188
BKPR,EDDL,BKPR-EDDL,A21N,A21N,2025,8,11585.858018342906,37743.47094784552,450.8247918770437,119269.36819519184,0.0,1448.2322522928632,4717.93386848069,3.2577190992751235,0.03891164479689731,10.29439235370939
BKPR,EDDL,BKPR-EDDL,A319,A319,2025,11,15930.554775221495,57137.0764042206,682.4706348281906,180553.1614373371,0.0,1448.2322522928632,5194.279673110964,3.5866344399438015,0.04284035581043986,11.333764830222414
BKPR,EDDL,BKPR-EDDL,A320,A320,2025,13,18827.01927980722,72498.35134097474,865.9525299060872,229094.79023748013,0.0,1448.232252292863,5576.796256998057,3.8507609868298327,0.045995200676023,12.16840471838227
BKPR,EDDL,BKPR-EDDL,A321,A321,2025,7,10137.625766050043,45706.146522411706,545.9345279065842,144431.42301082102,0.0,1448.2322522928632,6529.449503201672,4.508565178592141,0.05385230629985057,14.247065964351169
BKPR,EDDM,BKPR-EDDM,A21N,A21N,2025,7,6759.184899422651,22323.33891987335,266.6398815429317,70541.75098679979,0.0,965.5978427746644,3189.048417124764,3.302667296729838,0.03944852604427307,10.436428657666289
BKPR,EDDM,BKPR-EDDM,A319,A319,2025,4,3862.3913710986576,14920.927218886336,178.2221862255868,47150.130011680834,0.0,965.5978427746644,3730.231804721584,3.86313187486282,0.04614296406086146,12.207496724566516
BKPR,EDDM,BKPR-EDDM,A320,A320,2025,1,965.5978427746644,4008.6226140041663,47.88077011171643,12667.247460253166,0.0,965.5978427746644,4008.6226140041663,4.151441144985691,0.04958665812066242,13.118554018154784
BKPR,EDDS,BKPR-EDDS,A319,A319,2025,4,4563.9604320749495,17059.20637771262,203.76274284490077,53907.09215357188,0.0,1140.9901080187374,4264.801594428155,3.737807685146135,0.044646036239245505,11.811472285061786
BKPR,EDDS,BKPR-EDDS,A320,A320,2025,5,5704.950540093687,22906.259194202787,273.60254037519996,72383.7790536808,0.0,1140.9901080187374,4581.251838840557,4.015154738541628,0.047958792710358335,12.687888973791544
BKPR,EDLE,BKPR-EDLE,A21N,A21N,2025,1,1446.3824859720655,4712.131981484259,56.28379866772865,14890.33706149026,0.0,1446.3824859720655,4712.131981484259,3.257874059721756,0.038913495713343196,10.29488202872075
CYEG,CYYC,CYEG-CYYC,A333,A333,2026,1,243.7240997757212,3167.172836678286,37.830119993657306,10008.266163903383,0.0,243.7240997757212,3167.172836678286,12.994910390859044,0.1552169852241497,41.063916835114576
CYHZ,EDDF,CYHZ-EDDF,A332,A332,2025,3,15706.532212524411,112558.76154496233,1344.4518740092722,355685.686482081,0.0,5235.510737508137,37519.58718165411,7.1663661985939715,0.08559826292765021,22.645717187556954
CYHZ,EDDF,CYHZ-EDDF,A332,A332,2026,5,26177.553687540683,187597.93590827056,2240.753123348787,592809.4774701351,0.0,5235.510737508137,37519.58718165411,7.166366198593973,0.08559826292765023,22.645717187556958
CYHZ,EDDF,CYHZ-EDDF,A333,A333,2025,12,62826.128850097644,450557.6117782677,5381.660362907087,1423762.0532193258,0.0,5235.510737508137,37546.46764818898,7.1715004572905094,0.08565958879541442,22.661941445038007
CYHZ,EDDF,CYHZ-EDDF,A333,A333,2026,33,172771.8543377685,1239033.4323902363,14799.565997994488,3915345.646353146,0.0,5235.510737508137,37546.46764818898,7.17150045729051,0.08565958879541442,22.661941445038007
CYHZ,EDDF,CYHZ-EDDF,B789,B789,2026,1,5235.510737508137,44187.09513001593,527.7903029418569,139631.22061085037,0.0,5235.510737508137,44187.09513001593,8.439882438489079,0.1008097069041751,26.670028505625496
CYHZ,MMUN,CYHZ-MMUN,A339,A333,2026,1,3405.0266504640726,25689.76601803203,306.8499829931604,81179.66061698121,0.0,3405.0266504640726,25689.76601803203,7.5446593096505605,0.0901167639763817,23.84112341849577
CYUL,EDDF,CYUL-EDDF,A339,A333,2026,1,5854.757169366261,41445.60010412471,495.0446679103785,130968.09632903407,0.0,5854.757169366261,41445.60010412471,7.078961416364074,0.08455426136212646,22.369518075710474
CYUL,EDDF,CYUL-EDDF,A343,A343,2025,8,46838.05735493009,451777.5435920696,5396.231770683053,1427617.03775094,0.0,5854.757169366261,56472.1929490087,9.6455226605276,0.11521040955630187,30.479851607267218
CYUL,EDDF,CYUL-EDDF,B789,B789,2025,15,87821.35754049392,732998.9322207145,8755.26502374742,2316276.625817458,0.0,5854.757169366261,48866.595481380966,8.346476902076274,0.0996940296636888,26.37486701056103
CYUL,EDDF,CYUL-EDDF,B789,B789,2026,22,128804.65772605775,1075065.1005903813,12841.055368162884,3397205.717865605,0.0,5854.757169366261,48866.595481380966,8.346476902076274,0.0996940296636888,26.374867010561026
CYUL,EDDM,CYUL-EDDM,A359,A359,2025,103,633582.2288185311,5855962.1685384605,69946.21479087605,18504840.452581536,0.0,6151.283774937196,56854.00163629573,9.242623770332594,0.11039800614563931,29.206691114250997
CYUL,EDDM,CYUL-EDDM,A359,A359,2026,179,1101079.795713758,10176866.292896936,121557.01405404674,32158897.485554315,0.0,6151.283774937196,56854.00163629573,9.242623770332592,0.11039800614563931,29.20669111425099
CYUL,EDDN,CYUL-EDDN,A359,A359,2026,1,6041.441568021484,55934.36680377448,668.1049368228619,176752.59909992735,0.0,6041.441568021484,55934.36680377448,9.258447040164366,0.11058700631307439,29.256692646919397
CYUL,KSFO,CYUL-KSFO,B748,B748,2026,1,4074.927672432365,64693.333619780125,772.7259293473737,204430.9342385052,0.0,4074.927672432365,64693.333619780125,15.875946475674262,0.18962936068166478,50.16799086313067
CYVR,BIKF,CYVR-BIKF,B744,B744,2025,1,5687.540084227714,90164.6446665198,1076.9665890723195,284920.2771462025,0.0,5687.540084227714,90164.6446665198,15.853012608483947,0.18935542837911376,50.09551984280926
CYVR,EDDF,CYVR-EDDF,A339,A333,2025,53,427311.840764463,2911322.5536293234,34774.13050168358,9199779.269468661,0.0,8062.487561593642,54930.61421942119,6.813109948980006,0.08137881327948342,21.52942743877682
CYVR,EDDF,CYVR-EDDF,A339,A333,2026,99,798186.2685977705,5438130.807722698,64955.451314465565,17184493.352403726,0.0,8062.487561593642,54930.61421942119,6.813109948980006,0.08137881327948342,21.52942743877682
CYVR,EDDF,CYVR-EDDF,A343,A343,2025,21,169312.23879346647,1566971.7067007727,18716.606496703673,4951630.593174442,0.0,8062.487561593642,74617.70031908441,9.254922844722552,0.11054491175640825,29.245556189323263
CYVR,EDDF,CYVR-EDDF,A343,A343,2026,32,257999.60197099653,2387766.410210701,28520.543233072265,7545341.856265816,0.0,8062.487561593642,74617.70031908441,9.254922844722552,0.11054491175640825,29.245556189323263
CYVR,EDDF,CYVR-EDDF,B744,B744,2025,42,338624.47758693295,4999679.999999989,59718.39999999986,15798988.799999967,0.0,8062.487561593642,119039.99999999974,14.764673940962972,0.17635582762816882,46.656369653443
CYVR,EDDF,CYVR-EDDF,B744,B744,2026,82,661123.9800506786,9761279.999999978,116593.0666666664,30845644.799999934,0.0,8062.487561593642,119039.99999999972,14.764673940962972,0.17635582762816884,46.656369653442994
CYVR,EDDM,CYVR-EDDM,A359,A359,2025,85,708904.78158392,6356299.275287159,75922.46356592995,20085905.709907424,0.0,8340.056253928471,74779.99147396657,8.966365357397017,0.10709825288001992,28.333714529374575
CYVR,EDDM,CYVR-EDDM,A359,A359,2026,160,1334409.0006285554,11964798.635834651,142912.87259469167,37808763.689237505,0.0,8340.056253928471,74779.99147396657,8.966365357397015,0.10709825288001991,28.333714529374575
CYYC,EDDF,CYYC-EDDF,A332,A332,2025,14,105357.7996680555,723404.2531563123,8640.661912700398,2285957.439973947,0.0,7525.557119146821,51671.73236830802,6.866167055837335,0.08201255094472373,21.69708789644598
CYYC,EDDF,CYYC-EDDF,A332,A332,2026,21,158036.69950208324,1085106.3797344684,12960.992869050597,3428936.1599609205,0.0,7525.557119146821,51671.73236830802,6.866167055837335,0.08201255094472373,21.69708789644598
CYYC,EDDF,CYYC-EDDF,A333,A333,2025,66,496686.7698636902,3412720.8170828596,40763.054204045264,10784197.781981837,0.0,7525.557119146821,51707.89116792211,6.87097185620515,0.08206994161578372,21.712271065608277
CYYC,EDDF,CYYC-EDDF,A333,A333,2026,105,790183.4975104162,5429328.572631822,64850.31350643565,17156678.289516557,0.0,7525.557119146821,51707.89116792211,6.87097185620515,0.08206994161578374,21.712271065608274
CYYC,EDDF,CYYC-EDDF,A339,A333,2025,5,37627.7855957341,258539.45583961057,3088.110166973126,816984.6804531694,0.0,7525.557119146821,51707.89116792211,6.87097185620515,0.08206994161578374,21.712271065608277
CYYC,EDDF,CYYC-EDDF,A339,A333,2026,24,180613.3708595237,1240989.3880301306,14822.928801471004,3921526.4661752135,0.0,7525.557119146822,51707.89116792211,6.870971856205149,0.08206994161578372,21.712271065608274
CYYC,EDDM,CYYC-EDDM,A333,A333,2025,14,109346.90697443682,747914.683440371,8933.425385537763,2363410.399671572,0.0,7810.493355316916,53422.47738859792,6.839833920635898,0.0816980162742621,21.613875189209434
CYYC,EDDM,CYYC-EDDM,A333,A333,2026,45,351472.2009892612,2404011.4824869065,28714.58159637138,7596676.284658624,0.0,7810.493355316916,53422.47738859792,6.839833920635897,0.0816980162742621,21.613875189209434
CYYZ,CYUL,CYYZ-CYUL,A339,A333,2026,1,505.295618448645,5621.042429015185,67.14022901323693,17762.494075687984,0.0,505.295618448645,5621.042429015185,11.124265130722625,0.1328731668391869,35.15267781308349
CYYZ,EDDF,CYYZ-EDDF,A339,A333,2025,72,456665.60936883383,3202548.8770846995,38252.667142956125,10120054.45158765,0.0,6342.57790790047,44479.84551506527,7.012896989355084,0.08376515848396349,22.160754486362066
CYYZ,EDDF,CYYZ-EDDF,A339,A333,2026,136,862590.5954744639,6049258.990048877,72255.0379366949,19115658.40855445,0.0,6342.57790790047,44479.84551506527,7.012896989355084,0.08376515848396349,22.160754486362062
CYYZ,EDDF,CYYZ-EDDF,A343,A343,2025,2,12685.15581580094,121151.10613638783,1447.0826566290768,382837.4953909856,0.0,6342.57790790047,60575.55306819391,9.550620260058537,0.11407685310625475,30.179960021784982
CYYZ,EDDF,CYYZ-EDDF,A343,A343,2026,1,6342.57790790047,60575.55306819391,723.5413283145384,191418.7476954928,0.0,6342.57790790047,60575.55306819391,9.550620260058537,0.11407685310625475,30.179960021784982
CYYZ,EDDF,CYYZ-EDDF,B744,B744,2025,22,139536.71397381034,2178722.9354628846,26023.635062473346,6884764.476062716,0.0,6342.577907900471,99032.8607028584,15.6139762318884,0.186500271658667,49.34016489276735
